TimeStamp,fase,mode,right_torque,left_torque,x,y,th,xLC,y_LC,th_LC
4.598445,0,2,-2.739985,4.076823,1.312313,-0.060336,0.0282881.314561,-0.041812,0.042569,
4.633447,0,2,-2.454588,3.616986,1.32298,-0.060025,0.0301661.325223,-0.041349,0.044348,
4.688629,0,2,-2.374654,4.781562,1.338162,-0.059556,0.0323531.340262,-0.040669,0.04678,
4.728445,0,2,-2.041931,4.477505,1.351393,-0.05911,0.0346121.353694,-0.040023,0.048746,
4.768439,0,2,-1.598397,2.647052,1.364079,-0.058675,0.0336011.366328,-0.039414,0.047585,
4.803434,0,2,-1.277217,2.99603,1.374907,-0.058314,0.0329591.377164,-0.0389,0.046894,
4.84342,0,2,-0.986337,1.962273,1.387623,-0.057902,0.0314531.389859,-0.038313,0.045438,
4.883448,0,2,-0.926314,3.327885,1.399817,-0.05752,0.0316711.401957,-0.037764,0.045852,
4.923438,0,2,-0.210657,1.267875,1.413914,-0.057078,0.0299871.416165,-0.037121,0.043675,
4.968438,0,2,-0.229414,1.684566,1.426377,-0.056718,0.0281321.428577,-0.03659,0.041968,
5.003439,0,2,-0.108214,1.355547,1.437131,-0.05642,0.0272421.439371,-0.03614,0.041128,
5.038442,0,2,0.171123,0.453332,1.448154,-0.056127,0.0253671.450329,-0.035698,0.039153,
5.078434,0,2,0.104463,0.951307,1.460468,-0.055824,0.0238061.462593,-0.035226,0.037839,
5.113426,0,2,-0.077337,0.793748,1.470939,-0.055576,0.0233571.473119,-0.034829,0.037292,
5.153459,0,2,0.497208,0.363488,1.483315,-0.055292,0.0225891.485490,-0.034372,0.036425,
5.188448,0,2,0.534145,0.613727,1.494041,-0.055054,0.0219951.496196,-0.033985,0.035979,
5.223441,0,2,0.081377,0.508928,1.504646,-0.054823,0.0213011.506753,-0.033607,0.035235,
5.273439,0,2,-0.767021,1.55586,1.519137,-0.054528,0.0196221.521149,-0.033114,0.033753,
5.313431,0,2,-1.165826,1.429323,1.530599,-0.054302,0.0191871.532696,-0.032725,0.033022,
5.358496,0,2,-0.556076,0.333188,1.544265,-0.054052,0.0174471.546462,-0.032281,0.031234,
5.393435,0,2,-0.960364,-0.397568,1.55514,-0.053872,0.0153721.557244,-0.031955,0.029158,
5.433439,0,2,-1.480946,0.597326,1.566812,-0.0537,0.0140501.568882,-0.031622,0.027934,
5.473419,0,2,-2.914854,1.529841,1.577868,-0.053553,0.0123731.579711,-0.031327,0.026403,
5.513421,0,2,-4.472271,2.751457,1.588025,-0.05343,0.0112771.589865,-0.031063,0.025109,
5.553433,0,2,-7.219466,5.109849,1.597522,-0.05333,0.0097761.599269,-0.030834,0.023805,
5.588426,0,2,-8.202916,6.255187,1.605774,-0.053251,0.0091981.607594,-0.030637,0.023277,
5.623427,0,2,-8.436081,6.598827,1.614477,-0.053172,0.0090211.616370,-0.030435,0.023052,
5.663423,0,2,-9.054777,6.946748,1.624981,-0.053077,0.0090671.628237,-0.03016,0.023067,
5.708412,0,2,-9.369896,7.044431,1.637315,-0.052966,0.0089411.639263,-0.029906,0.023071,
5.748433,0,2,-10.018892,7.476469,1.648509,-0.052868,0.0084031.650559,-0.02965,0.022288,
5.783403,0,2,-8.616438,5.878078,1.657511,-0.052796,0.0078351.658090,-0.029483,0.021897,
5.8834,0,2,-8.137699,5.659918,1.666994,-0.052723,0.0074721.667571,-0.029277,0.021534,
5.918402,0,2,-5.831729,3.977743,1.700414,-0.052454,0.0093671.704300,-0.02846,0.024018,
5.963412,0,2,-4.929368,3.331104,1.716908,-0.052282,0.0115221.719063,-0.028094,0.025606,
6.003406,0,2,-4.807014,3.393483,1.729648,-0.05213,0.0126381.731846,-0.02776,0.02687,
6.048396,0,2,-5.525844,4.347736,1.74341,-0.051946,0.0141621.745498,-0.027382,0.028443,
6.093419,0,2,-3.516813,3.138963,1.757562,-0.051731,0.0165831.759706,-0.026963,0.030864,
6.128423,0,2,-3.667159,3.988418,1.768397,-0.051541,0.0188091.770463,-0.02662,0.033238,
6.168399,0,2,-3.10964,3.078363,1.779232,-0.051329,0.0203431.782912,-0.026197,0.034596,
6.213415,0,2,-3.694573,3.750299,1.7947,-0.051011,0.0208031.796680,-0.025719,0.034885,
6.248486,0,2,-3.108485,3.798779,1.804978,-0.050794,0.0216871.806984,-0.025356,0.036066,
6.288413,0,2,-3.434571,3.73034,1.815451,-0.050562,0.0225241.818937,-0.02492,0.036676,
6.328394,0,2,-2.956986,3.50612,1.826058,-0.050323,0.0225221.831024,-0.024478,0.036843,
6.363405,0,2,-3.180051,3.99698,1.839381,-0.050018,0.0234971.841342,-0.024094,0.037776,
6.41343,0,2,-3.168508,4.674975,1.854264,-0.049656,0.0250861.856294,-0.023518,0.039219,
6.448389,0,2,-3.373394,5.270633,1.864571,-0.049393,0.0259701.866521,-0.023112,0.040151,
6.488408,0,2,-3.469775,5.186514,1.876078,-0.04909,0.0266731.878037,-0.022645,0.040903,
6.523416,0,2,-2.574628,3.856542,1.886758,-0.048805,0.0264251.888742,-0.022209,0.040557,
6.568388,0,2,-2.507968,4.473937,1.900364,-0.048443,0.0267611.902342,-0.021655,0.040992,
6.613385,0,2,-2.531631,5.315552,1.913882,-0.048073,0.0281831.915883,-0.021092,0.042217,
6.653407,0,2,-2.198332,4.332779,1.926091,-0.047729,0.0280551.928116,-0.020575,0.04199,
6.688391,0,2,-2.312894,4.845376,1.936651,-0.047435,0.0278061.938611,-0.020136,0.041937,
6.72842,0,2,-2.149275,4.843596,1.948561,-0.047103,0.0276731.950545,-0.019635,0.041707,
6.763425,0,2,-1.369268,3.924981,1.959316,-0.046808,0.0271791.961280,-0.01919,0.041262,
6.80343,0,2,-1.315305,5.214312,1.969758,-0.046521,0.0281141.973231,-0.018691,0.042267,
6.838419,0,2,-1.253551,4.704217,1.981833,-0.04618,0.0282311.983785,-0.018244,0.042116,
6.878415,0,2,-1.452377,4.819357,1.993982,-0.045843,0.0272121.995959,-0.017737,0.041295,
6.918386,0,2,-1.924478,5.497352,2.005653,-0.045524,0.0275712.008943,-0.017198,0.041771,
6.953409,0,2,-1.960838,5.616773,2.015763,-0.045244,0.0278102.017639,-0.016834,0.04199,
6.993402,0,2,-2.032986,5.893769,2.027478,-0.044918,0.0275262.029363,-0.016344,0.041559,
7.038397,0,2,-2.348106,6.131888,2.040587,-0.04456,0.0267182.042466,-0.015803,0.040751,
7.083381,0,2,-2.499029,5.944751,2.053711,-0.044217,0.0251692.055614,-0.015276,0.039004,
7.123396,0,2,-2.554146,5.605391,2.065605,-0.043927,0.0233062.069002,-0.014766,0.036964,
7.173396,0,2,-2.282023,5.397572,2.080619,-0.043595,0.0205962.082541,-0.014282,0.034234,
7.213383,0,2,-2.820209,4.763773,2.092664,-0.04336,0.0181422.094536,-0.013882,0.031927,
7.248396,0,2,-2.869844,4.975151,2.103103,-0.043181,0.0158132.105002,-0.013559,0.029698,
7.293403,0,2,-3.183809,4.375933,2.116604,-0.042983,0.0131322.118499,-0.013176,0.026918,
7.328393,0,2,-3.281347,4.141372,2.12865,-0.042838,0.0107772.129042,-0.012901,0.024839,
7.378394,0,2,-3.78981,4.42975,2.142017,-0.042707,0.0085382.143890,-0.012549,0.022275,
7.418389,0,2,-3.615224,4.13281,2.154049,-0.042617,0.0063312.155965,-0.012292,0.020216,
7.458388,0,2,-3.754604,3.325051,2.166336,-0.042549,0.0043742.168250,-0.012054,0.018161,
7.498388,0,2,-3.742476,2.765746,2.178533,-0.042507,0.0022192.180415,-0.011845,0.016104,
7.548389,0,2,-3.912733,2.892283,2.193672,-0.042486,0.0004992.195553,-0.011614,0.014384,
7.593392,0,2,-3.150905,2.022146,2.207491,-0.042489,-0.0009422.209415,-0.011424,0.012993,
7.633398,0,2,-4.075775,2.102705,2.219629,-0.042507,-0.0022082.221553,-0.011273,0.011727,
7.668384,0,2,-3.526048,1.508826,2.230447,-0.042535,-0.0028992.232371,-0.01115,0.011234,
7.713368,0,2,-3.76181,1.730544,2.242587,-0.042572,-0.0030782.245965,-0.011,0.010927,
7.758365,0,2,-4.264212,2.049221,2.258824,-0.042621,-0.0030522.259200,-0.010855,0.01101,
7.793382,0,2,-4.512671,1.914123,2.267647,-0.04265,-0.0032272.269538,-0.010743,0.010807,
7.833382,0,2,-4.185432,1.498485,2.281092,-0.042693,-0.0031402.282893,-0.010597,0.01109,
7.87838,0,2,-4.193223,1.798983,2.292753,-0.042726,-0.0025342.296218,-0.010447,0.011669,
7.928372,0,2,-5.165996,2.461301,2.30743,-0.042758,-0.0018372.309243,-0.01029,0.012344,
7.96839,0,2,-5.21563,2.804218,2.31909,-0.042773,-0.0009352.320888,-0.01014,0.013196,
8.003366,0,2,-5.48833,3.095097,2.32913,-0.042781,-0.0002522.330957,-0.010005,0.013978,
8.048382,0,2,-5.609529,3.610196,2.341963,-0.042773,0.0014572.343788,-0.009815,0.015688,
8.083477,0,2,-5.071345,2.694082,2.352393,-0.042756,0.0019472.355762,-0.009625,0.016249,
8.128376,0,2,-6.813736,4.389433,2.365164,-0.042725,0.0029642.368247,-0.009417,0.017113,
8.163377,0,2,-5.598564,3.049842,2.376839,-0.042689,0.0031252.377204,-0.009263,0.017187,
8.198378,0,2,-4.884639,2.448124,2.386218,-0.042657,0.0037002.388098,-0.009072,0.017931,
8.23838,0,2,-5.520361,3.658676,2.399621,-0.042598,0.0058132.399983,-0.008852,0.019875,
8.273373,0,2,-4.171292,2.651662,2.408897,-0.042538,0.0074242.413968,-0.008559,0.022046,
8.318373,0,2,-4.072601,2.389304,2.423079,-0.042422,0.0090542.426512,-0.008274,0.023603,
8.358351,0,2,-4.362903,2.701921,2.436751,-0.042289,0.0103792.437105,-0.00802,0.024441,
8.403351,0,2,-3.436302,2.128724,2.450858,-0.042133,0.0119592.451208,-0.007666,0.026021,
8.443376,0,2,-3.502385,2.947879,2.461514,-0.041997,0.0138852.464952,-0.007293,0.028485,
8.478349,0,2,-2.278097,1.500773,2.47421,-0.04181,0.0156432.474553,-0.007014,0.029705,
8.528367,0,2,-2.813742,1.721093,2.488059,-0.041589,0.0160812.489913,-0.006554,0.030312,
8.563355,0,2,-2.850462,2.499399,2.498593,-0.041416,0.0170182.501869,-0.006186,0.031417,
8.603561,0,2,-2.215731,2.063083,2.510598,-0.041205,0.0182712.512444,-0.005849,0.032502,
8.643371,0,2,-2.550582,2.744199,2.523892,-0.040954,0.0194432.524219,-0.00546,0.033505,
8.683366,0,2,-2.807622,2.846443,2.534005,-0.040755,0.0197812.537342,-0.005017,0.034033,
8.723363,0,2,-2.642965,2.940039,2.545948,-0.040514,0.0208352.550721,-0.004554,0.035404,
8.763363,0,2,-2.758662,3.879992,2.559093,-0.04023,0.0227972.560846,-0.004188,0.037076,
8.808342,0,2,-3.961971,4.936226,2.571697,-0.039933,0.0242562.572004,-0.003767,0.038318,
8.843373,0,2,-3.644896,4.408839,2.580308,-0.039724,0.0242762.582021,-0.003383,0.038358,
8.883371,0,2,-3.559799,5.089956,2.59321,-0.039409,0.0247512.593507,-0.002941,0.038813,
8.918359,0,2,-3.584279,5.414315,2.601942,-0.039189,0.0256622.603660,-0.002541,0.039794,
8.953368,0,2,-3.877456,5.441322,2.613313,-0.038896,0.0258192.615071,-0.002087,0.040001,
8.998363,0,2,-3.198808,5.138035,2.623874,-0.03862,0.0266572.628402,-0.001547,0.041025,
9.043364,0,2,-2.836363,4.952678,2.63991,-0.03819,0.0267302.641701,-0.001003,0.040863,
9.083366,0,2,-3.549132,5.360476,2.652001,-0.037866,0.0266012.653725,-0.000512,0.040534,
9.128364,0,2,-3.119451,5.231437,2.663985,-0.037552,0.0259252.667144,0.000027,0.040176,
9.16836,0,2,-3.876372,6.389951,2.675387,-0.037253,0.0265772.680129,0.000553,0.040652,
9.213361,0,2,-2.664952,4.142085,2.691076,-0.03684,0.0252112.692932,0.001067,0.039147,
9.258363,0,2,-2.399466,4.514579,2.705222,-0.03649,0.0244672.707057,0.001615,0.038452,
9.303358,0,2,-2.84502,4.000203,2.718961,-0.036161,0.0226792.719201,0.002075,0.036741,
9.348349,0,2,-3.196499,4.170939,2.734365,-0.035832,0.0200732.734599,0.002621,0.034135,
9.388338,0,2,-2.832323,2.564709,2.745165,-0.035622,0.0181462.746894,0.003031,0.031932,
9.428349,0,2,-2.960159,2.982126,2.75718,-0.035415,0.0157902.760570,0.003453,0.029352,
9.46835,0,2,-2.507392,2.440285,2.769677,-0.035228,0.0143312.771354,0.003763,0.028363,
9.513356,0,2,-2.592232,3.592739,2.784217,-0.035018,0.0143832.784434,0.004135,0.028445,
9.553355,0,2,-2.870992,3.140742,2.794659,-0.034871,0.0138352.796373,0.004472,0.02772,
9.598348,0,2,-3.347999,3.096543,2.807997,-0.034693,0.0125852.809677,0.004835,0.026568,
9.643351,0,2,-4.3352,4.585855,2.822312,-0.034513,0.0126842.822518,0.005177,0.026746,
9.688351,0,2,-3.470931,3.901799,2.835666,-0.034342,0.0129672.835869,0.005535,0.027029,
9.728351,0,2,-3.743053,4.162378,2.845885,-0.034209,0.0130582.847494,0.00585,0.02714,
9.778363,0,2,-3.283648,4.283578,2.86059,-0.034015,0.0134592.863725,0.006293,0.027463,
9.828349,0,2,-3.259408,3.641942,2.874079,-0.033835,0.0132002.878980,0.00671,0.026734,
9.863348,0,2,-3.277011,3.100824,2.886471,-0.033677,0.0121842.888174,0.006954,0.02602,
9.913345,0,2,-3.457656,3.034164,2.90185,-0.0335,0.0106662.903579,0.007346,0.024601,
9.953342,0,2,-3.119451,2.912242,2.914258,-0.033373,0.0099972.915984,0.007647,0.023833,
9.988344,0,2,-2.846181,1.971892,2.926696,-0.033256,0.0086362.926874,0.007901,0.022698,
10.02835,0,2,-2.785581,1.735552,2.937409,-0.033166,0.0078932.939190,0.008177,0.021928,
10.068336,0,2,-2.556455,1.668169,2.949848,-0.033073,0.0070272.951551,0.008442,0.021011,
10.11335,0,2,-3.154664,2.344387,2.963218,-0.032979,0.0069642.964859,0.008723,0.020947,
10.153318,0,2,-2.302512,0.808371,2.975431,-0.032898,0.0062432.977190,0.008977,0.020326,
10.188332,0,2,-2.888601,1.189429,2.98625,-0.032832,0.0059472.987887,0.009192,0.020029,
10.223353,0,2,-2.913418,1.599007,2.996559,-0.03277,0.0061382.998179,0.009398,0.020171,
10.263327,0,2,-2.828578,2.037106,3.008325,-0.032697,0.0065973.009987,0.009639,0.02068,
10.308329,0,2,-2.683715,1.488148,3.020389,-0.032616,0.0068633.023565,0.009922,0.021214,
10.343342,0,2,-2.986138,2.166145,3.03223,-0.032529,0.0080643.033843,0.010145,0.022097,
10.378395,0,2,-2.580695,1.895947,3.04263,-0.032444,0.0085543.044301,0.010378,0.022686,
10.413312,0,2,-3.161301,3.090823,3.05273,-0.032352,0.0099293.054264,0.01061,0.024208,
10.453344,0,2,-3.615801,3.159985,3.063896,-0.032234,0.0111713.065516,0.010889,0.025352,
10.493333,0,2,-3.175144,3.672574,3.075587,-0.032096,0.0129643.077174,0.011194,0.027145,
10.528314,0,2,-3.676391,4.088934,3.085597,-0.031961,0.0140423.087166,0.01147,0.028272,
10.568321,0,2,-3.888491,4.305314,3.098502,-0.031773,0.0153083.098642,0.0118,0.02937,
10.668305,0,2,-3.519409,3.39526,3.103064,-0.031703,0.0154693.103203,0.011934,0.029531,
10.728322,0,2,-3.379452,3.643719,3.145167,-0.031014,0.0170393.146792,0.013262,0.031023,
10.763323,0,2,-2.326746,2.438505,3.155999,-0.030833,0.0162993.159225,0.013643,0.030354,
10.818308,0,2,-2.785573,2.444565,3.171182,-0.030588,0.0156183.174359,0.014097,0.029722,
10.853309,0,2,-3.015853,3.197059,3.183125,-0.030402,0.0154863.184723,0.014404,0.029519,
10.888319,0,2,-2.80433,2.765021,3.193778,-0.03024,0.0148423.195432,0.014717,0.028876,
10.923321,0,2,-2.017687,1.576208,3.2047,-0.030081,0.0143013.206321,0.015028,0.028235,
10.968315,0,2,-3.129838,3.01526,3.216449,-0.029913,0.0141173.219596,0.015404,0.028369,
11.018316,0,2,-3.124357,2.98674,3.231453,-0.0297,0.0139283.234566,0.015826,0.027686,
11.063315,0,2,-2.840115,2.914021,3.246457,-0.029495,0.0137403.249476,0.01624,0.02799,
