1,10.521235,-0.294030,1
2,10.521050,-0.294016,1
3,25.540128,-1.526281,1
4,41.301970,-4.087572,1
5,55.692454,-7.169649,1
6,75.558350,-11.709442,1
7,79.441216,0.787993,1
8,82.299909,9.194621,0
9,78.778241,16.176279,0
10,82.077992,25.357912,0
11,87.606380,36.763148,1
12,84.083760,39.343471,1
13,77.995681,43.030910,1
14,70.674341,47.959741,1
15,63.164327,53.901346,1
16,54.704650,61.687416,1
17,48.972537,67.581826,1
18,42.904514,74.215725,1
19,36.925757,81.498817,1
20,29.853957,91.502757,1
21,23.138355,102.415467,1
22,14.618933,118.641494,0
23,17.806994,129.719069,0
24,22.821493,132.385608,0
